feedback_id,source,user_role,product_area,feedback_text,created_at
FB00001,sales,HR主管,API接口,"续费看板金额和明细对不上，差了大概26万",2026-06-25
FB00002,appstore,HR主管,API接口,"导出的字段顺序每次都不固定，能不能固定下来",2026-05-31
FB00003,survey,数据分析师,通知系统,"希望能导出 PDF 格式的报告，客户需要正式文档",2026-06-19
FB00004,in-app,数据分析师,API接口,"数据分析页面加载太慢了，27秒都打不开",2026-06-27
FB00005,survey,CEO,移动端,"权限配置太复杂，新来的同事13天都搞不定",2026-06-06
FB00006,in-app,客户成功,仪表盘,"移动端看板显示不全，iPhone上排版错乱",2026-06-12
FB00007,survey,市场总监,数据分析,"API 返回的数据格式和文档不一致",2026-06-09
FB00008,survey,客户成功,仪表盘,"搜索功能经常搜不到想要的结果",2026-06-05
FB00009,in-app,技术负责人,用户管理,"仪表盘的图表类型太少了，缺少漏斗图",2026-06-06
FB00010,interview,数据分析师,API接口,"通知太多太频繁，希望能自定义规则",2026-06-22
FB00011,support,市场总监,移动端,"报表刷新后数据没有更新，需要手动清理缓存",2026-06-13
FB00012,support,销售经理,BI报表,"用户分群的条件设置不够灵活",2026-06-22
FB00013,support,财务经理,仪表盘,"漏斗分析的转化率计算好像有问题",2026-06-11
FB00014,survey,财务经理,移动端,"自定义指标的公式编辑器不好用",2026-06-03
FB00015,appstore,财务经理,BI报表,"数据导入的时候没有错误提示，导入完了才发现少数据",2026-06-22
FB00016,in-app,数据分析师,仪表盘,"希望能支持定时发送报表到邮箱",2026-06-11
FB00017,sales,财务经理,移动端,"多语言支持不够完善，英文界面有翻译错误",2026-06-18
FB00018,support,销售经理,数据分析,"数据权限设置太粗，不能按部门隔离",2026-06-21
FB00019,survey,产品经理,仪表盘,"报表模板太少，每次都得从头做",2026-06-21
FB00020,survey,市场总监,权限配置,"实时数据更新延迟太高，11分钟才刷新一次",2026-06-09
FB00021,support,数据分析师,导出功能,"客户反馈渠道分散，汇总太麻烦",2026-06-26
FB00022,interview,销售经理,数据分析,"竞品分析模块数据来源不够权威",2026-06-10
FB00023,interview,销售经理,BI报表,"NPS 评分趋势图时间范围选择不灵活",2026-06-10
FB00024,in-app,HR主管,通知系统,"客户画像标签体系不够完善",2026-06-22
FB00025,support,CEO,移动端,"工单分配逻辑不透明，经常分配错人",2026-06-17
FB00026,community,财务经理,仪表盘,"SLA 超时预警不及时",2026-06-24
FB00027,community,HR主管,数据分析,"知识库搜索结果排序不合理",2026-06-24
FB00028,support,技术负责人,用户管理,"客户生命周期阶段定义不够清晰",2026-06-07
FB00029,appstore,运营负责人,搜索功能,"自动化工作流配置门槛太高",2026-06-07
FB00030,survey,HR主管,导出功能,"报表分享链接过期时间太短",2026-06-04
FB00031,interview,市场总监,仪表盘,"数据看板不能嵌入到我们自己的系统里",2026-06-11
FB00032,community,HR主管,导出功能,"A/B 测试结果分析维度不够",2026-06-09
FB00033,support,数据分析师,导出功能,"用户行为路径分析太粗糙",2026-06-05
FB00034,interview,运营负责人,数据分析,"留存分析的同期群定义不直观",2026-06-27
FB00035,community,CEO,权限配置,"漏斗步骤之间的时间窗口设置有限制",2026-06-15
FB00036,appstore,产品经理,移动端,"自定义事件追踪配置太麻烦",2026-06-24
FB00037,appstore,运营负责人,通知系统,"热力图数据不够精确",2026-06-13
FB00038,survey,市场总监,API接口,"会话回放加载太慢",2026-06-20
FB00039,community,财务经理,搜索功能,"用户反馈情感分析准确率不高",2026-06-01
FB00040,sales,市场总监,移动端,"标签管理没有批量操作",2026-06-27
FB00041,community,市场总监,移动端,"数据导出格式有限，缺少 Parquet",2026-06-19
FB00042,survey,产品经理,搜索功能,"Webhook 配置没有测试功能",2026-06-20
FB00043,interview,销售经理,权限配置,"集成第三方工具的文档不完整",2026-06-20
FB00044,interview,销售经理,用户管理,"Dashboard 权限继承关系不清晰",2026-06-02
FB00045,in-app,HR主管,用户管理,"报表订阅管理入口太深",2026-06-08
FB00046,support,CEO,权限配置,"数据字典维护成本高",2026-06-22
FB00047,interview,数据分析师,仪表盘,"告警规则配置没有模板",2026-06-18
FB00048,community,HR主管,移动端,"API 调用频率限制文档不清楚",2026-06-17
FB00049,community,CEO,权限配置,"数据回溯能力不足，只能看28天内的",2026-06-01
FB00050,survey,HR主管,权限配置,"客户分层模型不够灵活，不能自定义维度",2026-06-18
FB00051,support,HR主管,BI报表,"续费看板金额和明细对不上，差了大概16万",2026-06-07
FB00052,interview,产品经理,API接口,"导出的字段顺序每次都不固定，能不能固定下来",2026-06-05
FB00053,in-app,CEO,移动端,"希望能导出 PDF 格式的报告，客户需要正式文档",2026-06-18
FB00054,support,数据分析师,数据分析,"数据分析页面加载太慢了，6秒都打不开",2026-06-07
FB00055,support,运营负责人,仪表盘,"权限配置太复杂，新来的同事12天都搞不定",2026-06-20
FB00056,sales,运营负责人,通知系统,"移动端看板显示不全，iPhone上排版错乱",2026-06-11
FB00057,in-app,数据分析师,BI报表,"API 返回的数据格式和文档不一致",2026-06-08
FB00058,interview,HR主管,搜索功能,"搜索功能经常搜不到想要的结果",2026-06-08
FB00059,sales,运营负责人,权限配置,"仪表盘的图表类型太少了，缺少漏斗图",2026-06-17
FB00060,in-app,销售经理,导出功能,"通知太多太频繁，希望能自定义规则",2026-06-16
FB00061,survey,HR主管,BI报表,"报表刷新后数据没有更新，需要手动清理缓存",2026-06-24
FB00062,in-app,运营负责人,权限配置,"用户分群的条件设置不够灵活",2026-06-08
FB00063,community,技术负责人,移动端,"漏斗分析的转化率计算好像有问题",2026-06-17
FB00064,community,技术负责人,移动端,"自定义指标的公式编辑器不好用",2026-06-01
FB00065,appstore,财务经理,数据分析,"数据导入的时候没有错误提示，导入完了才发现少数据",2026-06-06
FB00066,in-app,市场总监,数据分析,"希望能支持定时发送报表到邮箱",2026-06-21
FB00067,survey,销售经理,BI报表,"多语言支持不够完善，英文界面有翻译错误",2026-06-13
FB00068,community,产品经理,用户管理,"数据权限设置太粗，不能按部门隔离",2026-06-10
FB00069,sales,销售经理,仪表盘,"报表模板太少，每次都得从头做",2026-06-15
FB00070,community,客户成功,移动端,"实时数据更新延迟太高，7分钟才刷新一次",2026-06-10
FB00071,interview,HR主管,仪表盘,"客户反馈渠道分散，汇总太麻烦",2026-06-24
FB00072,interview,运营负责人,移动端,"竞品分析模块数据来源不够权威",2026-06-23
FB00073,sales,财务经理,权限配置,"NPS 评分趋势图时间范围选择不灵活",2026-06-01
FB00074,in-app,财务经理,用户管理,"客户画像标签体系不够完善",2026-06-23
FB00075,support,数据分析师,API接口,"工单分配逻辑不透明，经常分配错人",2026-06-06
FB00076,survey,客户成功,移动端,"SLA 超时预警不及时",2026-06-21
FB00077,survey,技术负责人,BI报表,"知识库搜索结果排序不合理",2026-06-22
FB00078,community,销售经理,BI报表,"客户生命周期阶段定义不够清晰",2026-06-21
FB00079,interview,技术负责人,权限配置,"自动化工作流配置门槛太高",2026-06-06
FB00080,interview,运营负责人,数据分析,"报表分享链接过期时间太短",2026-06-25
FB00081,in-app,销售经理,通知系统,"数据看板不能嵌入到我们自己的系统里",2026-06-17
FB00082,survey,CEO,搜索功能,"A/B 测试结果分析维度不够",2026-06-14
FB00083,interview,运营负责人,移动端,"用户行为路径分析太粗糙",2026-06-04
FB00084,interview,市场总监,移动端,"留存分析的同期群定义不直观",2026-06-06
FB00085,in-app,技术负责人,移动端,"漏斗步骤之间的时间窗口设置有限制",2026-06-06
FB00086,in-app,数据分析师,BI报表,"自定义事件追踪配置太麻烦",2026-06-09
FB00087,in-app,财务经理,权限配置,"热力图数据不够精确",2026-06-26
FB00088,in-app,财务经理,搜索功能,"会话回放加载太慢",2026-06-19
FB00089,in-app,HR主管,API接口,"用户反馈情感分析准确率不高",2026-06-21
FB00090,interview,运营负责人,导出功能,"标签管理没有批量操作",2026-06-14
FB00091,community,技术负责人,API接口,"数据导出格式有限，缺少 Parquet",2026-06-03
FB00092,sales,销售经理,通知系统,"Webhook 配置没有测试功能",2026-06-26
FB00093,sales,财务经理,通知系统,"集成第三方工具的文档不完整",2026-06-17
FB00094,appstore,数据分析师,数据分析,"Dashboard 权限继承关系不清晰",2026-06-09
FB00095,sales,市场总监,搜索功能,"报表订阅管理入口太深",2026-06-09
FB00096,survey,市场总监,移动端,"数据字典维护成本高",2026-06-14
FB00097,support,市场总监,仪表盘,"告警规则配置没有模板",2026-06-18
FB00098,community,数据分析师,导出功能,"API 调用频率限制文档不清楚",2026-06-25
FB00099,interview,数据分析师,移动端,"数据回溯能力不足，只能看10天内的",2026-06-10
FB00100,sales,运营负责人,BI报表,"客户分层模型不够灵活，不能自定义维度",2026-06-18
FB00101,interview,销售经理,数据分析,"续费看板金额和明细对不上，差了大概6万",2026-06-21
FB00102,survey,客户成功,通知系统,"导出的字段顺序每次都不固定，能不能固定下来",2026-06-17
FB00103,community,数据分析师,通知系统,"希望能导出 PDF 格式的报告，客户需要正式文档",2026-06-01
FB00104,in-app,CEO,移动端,"数据分析页面加载太慢了，26秒都打不开",2026-06-10
FB00105,in-app,HR主管,搜索功能,"权限配置太复杂，新来的同事18天都搞不定",2026-06-03
FB00106,sales,市场总监,移动端,"移动端看板显示不全，iPhone上排版错乱",2026-06-16
FB00107,in-app,市场总监,权限配置,"API 返回的数据格式和文档不一致",2026-06-17
FB00108,interview,运营负责人,权限配置,"搜索功能经常搜不到想要的结果",2026-06-10
FB00109,community,销售经理,BI报表,"仪表盘的图表类型太少了，缺少漏斗图",2026-06-07
FB00110,interview,客户成功,导出功能,"通知太多太频繁，希望能自定义规则",2026-06-25
FB00111,in-app,数据分析师,数据分析,"报表刷新后数据没有更新，需要手动清理缓存",2026-06-17
FB00112,interview,技术负责人,仪表盘,"用户分群的条件设置不够灵活",2026-06-08
FB00113,community,技术负责人,搜索功能,"漏斗分析的转化率计算好像有问题",2026-06-08
FB00114,community,产品经理,数据分析,"自定义指标的公式编辑器不好用",2026-06-23
FB00115,survey,财务经理,权限配置,"数据导入的时候没有错误提示，导入完了才发现少数据",2026-06-14
FB00116,community,市场总监,数据分析,"希望能支持定时发送报表到邮箱",2026-06-16
FB00117,survey,数据分析师,数据分析,"多语言支持不够完善，英文界面有翻译错误",2026-06-17
FB00118,community,市场总监,数据分析,"数据权限设置太粗，不能按部门隔离",2026-06-12
FB00119,support,销售经理,权限配置,"报表模板太少，每次都得从头做",2026-05-31
FB00120,community,CEO,BI报表,"实时数据更新延迟太高，6分钟才刷新一次",2026-06-20
FB00121,community,销售经理,搜索功能,"客户反馈渠道分散，汇总太麻烦",2026-06-25
FB00122,support,产品经理,BI报表,"竞品分析模块数据来源不够权威",2026-06-10
FB00123,survey,市场总监,权限配置,"NPS 评分趋势图时间范围选择不灵活",2026-06-02
FB00124,interview,市场总监,移动端,"客户画像标签体系不够完善",2026-06-17
FB00125,interview,客户成功,仪表盘,"工单分配逻辑不透明，经常分配错人",2026-06-23
FB00126,support,客户成功,BI报表,"SLA 超时预警不及时",2026-06-19
FB00127,sales,产品经理,仪表盘,"知识库搜索结果排序不合理",2026-06-19
FB00128,support,数据分析师,数据分析,"客户生命周期阶段定义不够清晰",2026-06-18
FB00129,community,财务经理,用户管理,"自动化工作流配置门槛太高",2026-06-13
FB00130,support,CEO,用户管理,"报表分享链接过期时间太短",2026-06-24
FB00131,community,数据分析师,数据分析,"数据看板不能嵌入到我们自己的系统里",2026-06-15
FB00132,survey,财务经理,移动端,"A/B 测试结果分析维度不够",2026-06-16
FB00133,community,销售经理,数据分析,"用户行为路径分析太粗糙",2026-06-07
FB00134,survey,技术负责人,搜索功能,"留存分析的同期群定义不直观",2026-06-09
FB00135,interview,数据分析师,权限配置,"漏斗步骤之间的时间窗口设置有限制",2026-06-03
FB00136,appstore,财务经理,通知系统,"自定义事件追踪配置太麻烦",2026-06-23
FB00137,support,数据分析师,搜索功能,"热力图数据不够精确",2026-06-26
FB00138,in-app,市场总监,数据分析,"会话回放加载太慢",2026-06-25
FB00139,support,销售经理,通知系统,"用户反馈情感分析准确率不高",2026-06-23
FB00140,sales,CEO,权限配置,"标签管理没有批量操作",2026-06-06
FB00141,appstore,销售经理,移动端,"数据导出格式有限，缺少 Parquet",2026-06-19
FB00142,sales,客户成功,搜索功能,"Webhook 配置没有测试功能",2026-06-27
FB00143,support,技术负责人,移动端,"集成第三方工具的文档不完整",2026-06-02
FB00144,interview,HR主管,搜索功能,"Dashboard 权限继承关系不清晰",2026-06-20
FB00145,sales,CEO,权限配置,"报表订阅管理入口太深",2026-06-11
FB00146,appstore,技术负责人,搜索功能,"数据字典维护成本高",2026-06-14
FB00147,community,技术负责人,通知系统,"告警规则配置没有模板",2026-06-12
FB00148,support,运营负责人,权限配置,"API 调用频率限制文档不清楚",2026-06-12
FB00149,sales,客户成功,通知系统,"数据回溯能力不足，只能看8天内的",2026-06-03
FB00150,appstore,财务经理,通知系统,"客户分层模型不够灵活，不能自定义维度",2026-06-20
FB00151,in-app,客户成功,通知系统,"续费看板金额和明细对不上，差了大概13万",2026-06-21
FB00152,survey,CEO,搜索功能,"导出的字段顺序每次都不固定，能不能固定下来",2026-06-15
FB00153,support,销售经理,数据分析,"希望能导出 PDF 格式的报告，客户需要正式文档",2026-06-05
FB00154,appstore,产品经理,数据分析,"数据分析页面加载太慢了，5秒都打不开",2026-06-22
FB00155,sales,财务经理,API接口,"权限配置太复杂，新来的同事5天都搞不定",2026-06-15
FB00156,support,运营负责人,搜索功能,"移动端看板显示不全，iPhone上排版错乱",2026-06-25
FB00157,survey,客户成功,通知系统,"API 返回的数据格式和文档不一致",2026-06-17
FB00158,sales,HR主管,通知系统,"搜索功能经常搜不到想要的结果",2026-06-12
FB00159,survey,财务经理,BI报表,"仪表盘的图表类型太少了，缺少漏斗图",2026-06-22
FB00160,in-app,HR主管,搜索功能,"通知太多太频繁，希望能自定义规则",2026-06-07
FB00161,survey,HR主管,权限配置,"报表刷新后数据没有更新，需要手动清理缓存",2026-06-07
FB00162,interview,市场总监,权限配置,"用户分群的条件设置不够灵活",2026-06-25
FB00163,in-app,市场总监,用户管理,"漏斗分析的转化率计算好像有问题",2026-06-10
FB00164,appstore,数据分析师,导出功能,"自定义指标的公式编辑器不好用",2026-06-22
FB00165,survey,CEO,用户管理,"数据导入的时候没有错误提示，导入完了才发现少数据",2026-06-20
FB00166,interview,CEO,数据分析,"希望能支持定时发送报表到邮箱",2026-06-13
FB00167,sales,数据分析师,API接口,"多语言支持不够完善，英文界面有翻译错误",2026-06-13
FB00168,in-app,市场总监,BI报表,"数据权限设置太粗，不能按部门隔离",2026-06-25
FB00169,support,CEO,搜索功能,"报表模板太少，每次都得从头做",2026-06-13
FB00170,survey,市场总监,导出功能,"实时数据更新延迟太高，16分钟才刷新一次",2026-06-21
FB00171,in-app,客户成功,搜索功能,"客户反馈渠道分散，汇总太麻烦",2026-06-22
FB00172,support,财务经理,仪表盘,"竞品分析模块数据来源不够权威",2026-06-03
FB00173,sales,数据分析师,搜索功能,"NPS 评分趋势图时间范围选择不灵活",2026-06-26
FB00174,interview,技术负责人,API接口,"客户画像标签体系不够完善",2026-06-19
FB00175,interview,CEO,移动端,"工单分配逻辑不透明，经常分配错人",2026-06-06
FB00176,in-app,销售经理,仪表盘,"SLA 超时预警不及时",2026-06-02
FB00177,interview,数据分析师,导出功能,"知识库搜索结果排序不合理",2026-06-25
FB00178,community,CEO,API接口,"客户生命周期阶段定义不够清晰",2026-06-01
FB00179,sales,技术负责人,导出功能,"自动化工作流配置门槛太高",2026-06-02
FB00180,support,市场总监,BI报表,"报表分享链接过期时间太短",2026-06-04
FB00181,support,客户成功,BI报表,"数据看板不能嵌入到我们自己的系统里",2026-06-05
FB00182,survey,运营负责人,API接口,"A/B 测试结果分析维度不够",2026-06-14
FB00183,in-app,财务经理,搜索功能,"用户行为路径分析太粗糙",2026-06-20
FB00184,interview,市场总监,导出功能,"留存分析的同期群定义不直观",2026-06-26
FB00185,interview,销售经理,BI报表,"漏斗步骤之间的时间窗口设置有限制",2026-06-23
FB00186,community,市场总监,权限配置,"自定义事件追踪配置太麻烦",2026-06-17
FB00187,community,运营负责人,导出功能,"热力图数据不够精确",2026-06-06
FB00188,sales,CEO,搜索功能,"会话回放加载太慢",2026-06-01
FB00189,support,运营负责人,仪表盘,"用户反馈情感分析准确率不高",2026-06-27
FB00190,survey,CEO,BI报表,"标签管理没有批量操作",2026-06-21
FB00191,in-app,数据分析师,搜索功能,"数据导出格式有限，缺少 Parquet",2026-06-22
FB00192,community,市场总监,通知系统,"Webhook 配置没有测试功能",2026-06-01
FB00193,interview,财务经理,通知系统,"集成第三方工具的文档不完整",2026-05-31
FB00194,interview,数据分析师,API接口,"Dashboard 权限继承关系不清晰",2026-06-02
FB00195,appstore,运营负责人,移动端,"报表订阅管理入口太深",2026-06-24
FB00196,interview,产品经理,用户管理,"数据字典维护成本高",2026-06-09
FB00197,support,技术负责人,搜索功能,"告警规则配置没有模板",2026-06-12
FB00198,community,销售经理,API接口,"API 调用频率限制文档不清楚",2026-06-20
FB00199,survey,HR主管,API接口,"数据回溯能力不足，只能看11天内的",2026-06-07
FB00200,survey,CEO,导出功能,"客户分层模型不够灵活，不能自定义维度",2026-06-05
